QUERY_ID,QUERY_TEXT,RESULT,SKIP_PERCENTAGE
1,$..URL,1454377,0
2,$.items[1:90000]..year,844298,0.7445703155161404
3,$.items[1:80000]..issue,233736,0.771173981568162
4,$.items[*].reference[*],4838997,0.30315933065318257
5,$.items[*].reference[*].issue,490181,0.37335933344339534
6,$.items[*].reference[*].year,3274683,0.44899206691768123
7,$.items[*].reference[*].DOI,3428815,0.5277925696796769
8,$.items[*].reference[*].author,3205129,0.5927860595218879
9,$.items[*].reference[*].key,4838997,0.7820400828446584
10,$.items[*].assertion[*]..name,290566,0.8353011701456264
11,$.items[*].institution[*].name,13936,0.8476689983004647
12,$.items[*].author[*].sequence,1015271,0.8813335757192917
13,$.items[*].author[*].given,996685,0.9019554692402303
14,$.items[*].resource.primary.URL,387500,0.938957824056148
15,$.items[*].score,387500,0.9497570249897545
16,$.items[*].member,387448,0.9527696425621702
17,$.items[*].URL,387500,0.9663364900602609
18,$.items[3].reference[*],13,0.9999979716932159
19,$.items[2].resource.primary.URL,1,0.9999999165127115
20,$.items[0].URL,1,0.9999999903482903
